Time,CPU,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_INSTRS,BRANCH_MISSES,L1_ICACHE_MISS,L1_DCACHE_MISS,ITLB_MISSES,L2_CACHE_MISS,DTLB_MISSES,LoadType,Rep
2025-05-16 15:39:45,1,570035905,960359955,12253714,101716925,1765876,159474,31545853,3186,1000571,12084,cpu,1
2025-05-16 15:39:45,2,79608096,84346250,1137696,11796570,316441,48498,2509040,33519,62655,42342,cpu,1
2025-05-16 15:39:45,3,588161181,1026206471,9399689,107747661,1293481,122745,35440102,5074,1119163,35397,cpu,1
2025-05-16 15:39:45,4,174475872,206128438,2381884,25963781,724699,174410,8915800,37577,88175,69893,cpu,1
2025-05-16 15:39:45,5,500978192,794642776,8340904,87152021,1284984,176786,27740746,14908,805061,122680,cpu,1
2025-05-16 15:39:45,6,161364192,177131327,2141830,30056652,973388,331140,4828253,139779,380900,379019,cpu,1
2025-05-16 15:39:45,7,105737698,93640235,2038119,15375886,577379,146305,3567933,69001,182386,240620,cpu,1
2025-05-16 15:39:45,8,157759486,172943472,2262969,33559111,739591,214791,2424356,88831,90490,329509,cpu,1
2025-05-16 15:39:45,9,255978720,389324865,4096714,60787953,923670,585624,9664812,158143,367710,505238,cpu,1
2025-05-16 15:39:45,10,144758978,94288799,2544196,16943941,1045001,74639,1890371,90123,148346,362845,cpu,1
2025-05-16 15:39:45,11,157963353,84824346,870083,14311776,921390,155737,1856548,106797,180944,72028,cpu,1
2025-05-16 15:39:45,12,188256235,136265245,1277282,18868927,799342,109518,3620110,23025,148720,19767,cpu,1
2025-05-16 15:39:45,13,558484883,866813399,8750506,96140300,1411963,157133,29562218,13260,908430,185606,cpu,1
2025-05-16 15:39:45,14,168276511,117041381,2032861,18416487,969722,87359,2026113,79035,114168,346450,cpu,1
2025-05-16 15:39:45,15,119251347,78333511,1255863,12623963,838636,57795,999248,58225,147384,293779,cpu,1
2025-05-16 15:39:45,0,155170897,193932660,1972556,22150298,558085,75621,5596675,16717,195392,23100,cpu,1
2025-05-16 15:39:45,1,508850617,925066973,9680240,95803948,1423678,128782,27244251,6214,930915,13302,cpu,1
2025-05-16 15:39:45,2,107790455,107159683,898125,11512708,418078,65238,3232947,16300,96075,22701,cpu,1
2025-05-16 15:39:45,3,559586195,1000219161,11182655,106156125,1487118,119688,31176342,1714,992777,19484,cpu,1
2025-05-16 15:39:45,4,25481823,10916099,214120,2281026,162105,44031,507350,19594,11779,23844,cpu,1
2025-05-16 15:39:45,5,592050853,1048359697,11383835,106223004,1359139,131998,32553423,8274,1021583,96117,cpu,1
2025-05-16 15:39:45,6,204448902,198605015,2408093,31769900,978473,152008,4442438,124340,175563,933382,cpu,1
2025-05-16 15:39:47,7,138414693,77713126,1979910,13434272,722800,137789,1918675,115234,60107,261526,cpu,1
2025-05-16 15:39:47,8,209317216,225705065,2747722,34389390,1577988,84144,2987903,71663,272133,273269,cpu,1
2025-05-16 15:39:47,9,233406156,234431442,2158369,45424747,1617939,134178,5551308,115457,205278,1131428,cpu,1
2025-05-16 15:39:47,10,144939541,84360384,2486328,14349789,917826,76717,1967168,79534,181464,284004,cpu,1
2025-05-16 15:39:47,11,79330699,54509721,1202539,9672299,506427,76546,1671284,94961,141898,34028,cpu,1
2025-05-16 15:39:47,12,106749090,26993445,448377,5796932,615401,118365,768437,63883,36391,45022,cpu,1
2025-05-16 15:39:47,13,567514116,960556056,11409048,105833006,1694286,149813,32544231,4785,1006607,16867,cpu,1
2025-05-16 15:39:47,14,168480193,111196011,1642263,20226818,1213145,82418,1843568,71965,281273,273426,cpu,1
2025-05-16 15:39:47,15,205720751,97530760,1195714,19572983,1195712,104835,920135,77340,108143,142422,cpu,1
2025-05-16 15:39:47,0,68133367,50773612,869110,5915136,269495,41618,2480344,18523,77439,25996,cpu,1
2025-05-16 15:39:47,1,583664593,1004211483,11439113,107392873,1379833,147565,32616517,10353,1024515,38174,cpu,1
2025-05-16 15:39:47,2,77675877,111867788,1649164,11583571,390879,34822,4656899,13405,221121,21574,cpu,1
2025-05-16 15:39:47,3,564534277,1002147972,11312810,109417878,1519745,129377,31495054,5072,1034364,7112,cpu,1
2025-05-16 15:39:47,4,489918493,855201576,9445948,93948109,1357965,201306,40483348,18348,443072,26870,cpu,1
2025-05-16 15:39:47,5,99844063,142464516,1859749,14933145,279498,46928,3817508,16138,132660,36680,cpu,1
2025-05-16 15:39:47,6,101321437,106230765,3168199,14357742,578009,99932,6644964,100479,144019,148451,cpu,1
2025-05-16 15:39:47,7,36265968,17973341,456571,3397917,244356,69044,878509,33799,41527,52282,cpu,1
2025-05-16 15:39:47,8,96070817,108455026,1032133,13325443,475388,34718,848163,27121,62571,59877,cpu,1
2025-05-16 15:39:47,9,112130426,149061436,1872181,18641182,386209,39266,6604599,12399,177131,18904,cpu,1
2025-05-16 15:39:47,10,61655347,32997200,831734,6072388,425525,36940,382842,42410,29691,84898,cpu,1
2025-05-16 15:39:47,11,32741618,14398547,416469,2867375,224020,45355,426351,37988,11223,8812,cpu,1
2025-05-16 15:39:47,12,448967472,761604353,9410174,81997046,1294849,126299,24478086,27421,843302,41783,cpu,1
2025-05-16 15:39:47,13,182280895,277048633,3224595,33676517,564133,116397,7860061,38493,299541,78991,cpu,1
2025-05-16 15:39:47,14,81138868,49727975,720907,9052986,527303,43045,689798,35194,150711,91637,cpu,1
2025-05-16 15:39:47,15,34027008,16049176,391655,3149237,267958,22091,170483,14789,16349,43416,cpu,1
2025-05-16 15:39:48,0,576398132,1014922543,11362852,110466129,1527965,129426,35115325,3494,1088188,12510,cpu,1
2025-05-16 15:39:48,1,55336261,84583362,1116155,9378748,146898,16062,3039890,172,80654,1527,cpu,1
2025-05-16 15:39:48,2,464648239,823517664,8565554,88988650,1232949,105740,25683003,853,832735,15478,cpu,1
2025-05-16 15:39:48,3,168882952,277710669,2538243,28884330,467826,47146,9682636,956,289902,4617,cpu,1
2025-05-16 15:39:48,4,572488494,1012982211,10222288,108607024,1454753,193543,51531674,2154,527315,3792,cpu,1
2025-05-16 15:39:48,5,44595835,51146079,424651,6520685,142752,29290,1914472,4928,70394,6879,cpu,1
2025-05-16 15:39:48,6,90609417,40718021,825327,8397113,540392,105357,1062670,57001,95147,112864,cpu,1
2025-05-16 15:39:48,7,44288518,41623107,660421,4504573,285463,65155,911701,49753,32620,84834,cpu,1
2025-05-16 15:39:48,8,64588829,45855149,874305,8119970,440120,44129,846304,66110,200292,119971,cpu,1
2025-05-16 15:39:48,9,178343819,72742108,870528,11882421,995118,130707,884993,16519,210569,54375,cpu,1
2025-05-16 15:39:48,10,62765134,22566189,566483,4745841,406828,30636,324582,24069,14984,71840,cpu,1
2025-05-16 15:39:48,11,16990229,6635217,153573,1336154,115303,20118,240171,13714,4707,3743,cpu,1
2025-05-16 15:39:48,12,622097479,1097487958,11954823,115717360,1569578,141650,36194608,1648,1152520,14708,cpu,1
2025-05-16 15:39:48,13,13371986,2867777,76806,655395,73989,10768,105476,2007,1747,4419,cpu,1
2025-05-16 15:39:48,14,68915705,39613500,606967,7547846,386931,29716,189072,21752,27156,70475,cpu,1
2025-05-16 15:39:48,15,113354504,33310370,379950,6647819,652767,49627,232266,17459,28932,38907,cpu,1
2025-05-16 15:39:48,0,101601927,109146982,946064,13770130,439199,42114,4233778,17655,118013,78239,cpu,1
2025-05-16 15:39:48,1,571688705,1020619473,11145384,110110022,1443227,185670,48122984,3324,1020902,2605,cpu,1
2025-05-16 15:39:48,2,137500526,204386856,2144273,22778584,398003,45395,7878785,6715,228149,83548,cpu,1
2025-05-16 15:39:48,3,503096537,852673996,9697227,93841015,1465062,120244,27595232,14395,908825,37619,cpu,1
2025-05-16 15:39:48,4,191710421,252432796,2989322,32303130,711685,110774,10335333,36059,123901,204014,cpu,1
2025-05-16 15:39:48,5,425039639,708359954,7800638,83723484,1154303,190515,21416416,103082,735969,232076,cpu,1
2025-05-16 15:39:48,6,166862573,216895213,2672789,24176689,731712,86375,8921251,60822,208764,168536,cpu,1
2025-05-16 15:39:50,7,75651271,35161460,641948,7027869,523439,59744,832301,27957,37014,137510,cpu,1
2025-05-16 15:39:50,8,142352981,158145000,2403170,21722909,745884,66670,2095239,95982,470018,234068,cpu,1
2025-05-16 15:39:50,9,61815951,60204633,902163,8208468,363277,26984,2906399,8111,67346,146075,cpu,1
2025-05-16 15:39:50,10,147467461,62894825,868078,11197753,836738,62697,1600449,29467,163029,168537,cpu,1
2025-05-16 15:39:50,11,231461287,76134824,488354,15006818,1295641,149770,1267907,26770,78279,42962,cpu,1
2025-05-16 15:39:50,12,128805308,168449550,1462859,20601333,473872,53190,4714358,13940,181829,64924,cpu,1
2025-05-16 15:39:50,13,539885668,942200417,11058193,101493268,1441666,120236,30948050,3151,965259,24258,cpu,1
2025-05-16 15:39:50,14,89902692,62460033,946040,10518943,695751,40173,1428696,33981,193624,181968,cpu,1
2025-05-16 15:39:50,15,50879944,46518169,624515,3978172,223893,25950,525923,26128,36036,81171,cpu,1
2025-05-16 15:39:50,0,18733083,4592337,121527,1013187,115097,17756,492577,10101,2609,12965,cpu,1
2025-05-16 15:39:50,1,619417905,1076240938,11970481,114514754,1674664,206892,54981310,2495,1145070,1154,cpu,1
2025-05-16 15:39:50,2,15939209,3456347,101528,777484,85094,14109,143042,9726,4630,8546,cpu,1
2025-05-16 15:39:50,3,619190013,1098712257,12412463,117597981,1561566,126273,35669027,1868,1135353,22950,cpu,1
2025-05-16 15:39:50,4,15965099,6164238,73216,1111977,72477,26039,401156,8082,4416,8403,cpu,1
2025-05-16 15:39:50,5,619167215,1086752756,11707704,116120121,1547234,133505,35718727,1710,1159975,6850,cpu,1
2025-05-16 15:39:50,6,63757023,42558758,1064032,8053799,319303,90801,1226687,63534,93938,109386,cpu,1
2025-05-16 15:39:50,7,51627615,32788163,754701,5639915,473209,50862,1350204,27326,18980,44353,cpu,1
2025-05-16 15:39:50,8,110944348,96848282,1493149,14892900,923266,57971,1573393,63355,325449,140214,cpu,1
2025-05-16 15:39:50,9,32690885,12924195,521501,2476789,259900,36476,472451,28662,39155,36395,cpu,1
2025-05-16 15:39:50,10,46481126,25190450,554658,4017370,300672,19689,250680,22482,63630,51033,cpu,1
2025-05-16 15:39:50,11,38450048,15589326,290330,3227760,281949,74676,898879,5031,8432,20047,cpu,1
2025-05-16 15:39:50,12,46807131,9742546,107675,2136130,253465,37764,361829,9098,7719,6853,cpu,1
2025-05-16 15:39:50,13,618837101,1078801210,11909810,114584227,1616177,130260,36190312,1583,1127093,23049,cpu,1
2025-05-16 15:39:50,14,78580766,46314276,699084,8179305,462585,45479,475866,43731,53660,71209,cpu,1
2025-05-16 15:39:50,15,66641436,29937336,604684,4173556,293906,26825,536517,24045,30157,51054,cpu,1
2025-05-16 15:39:51,0,22662539,6797853,178159,1416864,132248,17629,208771,6937,3435,13401,cpu,1
2025-05-16 15:39:51,1,618127849,1099026741,12495888,119639898,1591218,199246,53707497,1934,1135381,2474,cpu,1
2025-05-16 15:39:51,2,385493679,657875550,7463966,70868351,968954,85339,22595707,2096,688118,11008,cpu,1
2025-05-16 15:39:51,3,245834032,423044425,4274000,43976192,604632,61168,15811317,1697,457432,9843,cpu,1
2025-05-16 15:39:51,4,526770790,904992602,11145871,95265822,1240670,179772,42343213,2376,485590,6774,cpu,1
2025-05-16 15:39:51,5,100157272,156665154,2446822,16954093,232216,35316,4591290,6887,180093,7750,cpu,1
2025-05-16 15:39:51,6,132341452,135070518,1545080,21107062,376491,32125,4443352,37986,59696,990544,cpu,1
2025-05-16 15:39:51,7,51631969,32132292,573226,5968222,292400,55500,1085779,34892,138624,78383,cpu,1
2025-05-16 15:39:51,8,81676822,61423751,936489,8666843,438623,38201,1092935,60737,275258,258709,cpu,1
2025-05-16 15:39:51,9,123561265,111611470,1064663,22310304,507397,32258,3704495,33318,33249,969086,cpu,1
2025-05-16 15:39:51,10,72119329,36945708,609270,7867775,425860,39762,653063,29889,69493,110657,cpu,1
2025-05-16 15:39:51,11,176967917,51437974,340564,8524294,972530,243928,1168188,2427,20883,18781,cpu,1
2025-05-16 15:39:51,12,481187472,811711602,8669863,87712571,1345721,111838,24751488,2846,835574,18768,cpu,1
2025-05-16 15:39:51,13,161831301,266655201,3329149,27374220,350986,45359,8999341,738,265222,7297,cpu,1
2025-05-16 15:39:51,14,41555362,20719465,639826,4439392,257611,30740,267486,32585,75266,88661,cpu,1
2025-05-16 15:39:51,15,20023382,6385884,256339,1324207,148610,9588,113631,8490,17664,34324,cpu,1
2025-05-16 15:39:51,0,465903386,800149850,8429247,88155439,1306236,113985,26544011,7073,897124,36229,cpu,1
2025-05-16 15:39:51,1,131406225,152337654,1759228,19782073,589720,198219,7519240,100795,181344,71756,cpu,1
2025-05-16 15:39:51,2,11997605,2283689,26149,537392,56252,9307,89560,223,1616,720,cpu,1
2025-05-16 15:39:51,3,619688224,1102376930,12258802,117843650,1648408,134642,35819452,2073,1166299,17935,cpu,1
2025-05-16 15:39:51,4,212019091,366010598,3747861,40414914,685628,79946,16065028,5128,201658,10699,cpu,1
2025-05-16 15:39:51,5,424935508,733772575,8272227,79049179,1050339,145959,37180938,4411,759355,1734,cpu,1
2025-05-16 15:39:51,6,76202866,93660451,1344144,10670966,446263,65126,1427681,39651,35305,82362,cpu,1
2025-05-16 15:39:53,7,35548199,24787828,422187,4380809,235646,41092,1992465,24756,54199,50724,cpu,1
2025-05-16 15:39:53,8,145051215,215036768,2996126,24989921,658667,43977,3060390,36864,241153,73439,cpu,1
2025-05-16 15:39:53,9,19231674,6105051,228022,1236554,131051,25040,383619,13820,9092,32242,cpu,1
2025-05-16 15:39:53,10,92270398,39268202,387891,6562990,587980,43738,338579,39526,41274,55638,cpu,1
2025-05-16 15:39:53,11,78138032,25157741,268315,4971195,493423,120146,651684,5151,6542,16532,cpu,1
2025-05-16 15:39:53,12,598640886,1013961149,12310326,108030494,1503771,146715,34237055,12822,1040804,19913,cpu,1
2025-05-16 15:39:53,13,27800712,17466703,630310,2597342,153153,15972,1706599,1680,2723,2737,cpu,1
2025-05-16 15:39:53,14,54201502,37745922,506462,5588561,448681,71889,1281744,37629,80858,62329,cpu,1
2025-05-16 15:39:53,15,24400495,11401464,148910,1843154,151593,19640,152573,13667,18117,27760,cpu,1
2025-05-16 15:39:53,0,82620409,123421627,1495567,12300888,250467,25532,3834097,8885,120942,14017,cpu,1
2025-05-16 15:39:53,1,556428271,984338505,12111531,106583873,1470329,189567,47199454,5009,1024031,11084,cpu,1
2025-05-16 15:39:53,2,395158941,684221693,8782089,72694332,943641,88455,22804104,747,732306,12753,cpu,1
2025-05-16 15:39:53,3,234712797,399451277,4872768,43793892,573256,57650,11880288,454,432952,7256,cpu,1
2025-05-16 15:39:53,4,555838782,967191084,11188064,104018875,1448272,183149,47046155,1413,492526,4277,cpu,1
2025-05-16 15:39:53,5,80067869,119089699,1402760,12732164,253997,35778,5601393,1824,118932,449,cpu,1
2025-05-16 15:39:53,6,55168345,26288429,980374,5626639,433129,81586,962349,57039,86231,114336,cpu,1
2025-05-16 15:39:53,7,18626831,7200593,149449,1603641,180042,30149,257472,13910,7930,25313,cpu,1
2025-05-16 15:39:53,8,66960994,66806664,1224781,8307109,327326,81552,1855357,61570,193625,165010,cpu,1
2025-05-16 15:39:53,9,19773236,7825976,259086,1762000,130933,36171,495342,28949,22748,39471,cpu,1
2025-05-16 15:39:53,10,47959659,22595148,663080,4526185,310889,26138,477323,44496,82493,76155,cpu,1
2025-05-16 15:39:53,11,124114699,30476521,244117,6571526,798993,214638,848343,1259,19355,12886,cpu,1
2025-05-16 15:39:53,12,621719335,1101150788,12362307,117999841,1652960,133445,34714148,1246,1149930,1518,cpu,1
2025-05-16 15:39:53,13,11882734,2382611,25012,551029,58927,9003,89991,1056,1850,1716,cpu,1
2025-05-16 15:39:53,14,123623290,33592682,433123,6957404,764321,104165,491463,29134,32212,47809,cpu,1
2025-05-16 15:39:53,15,48173455,21947639,247706,4290676,299189,24691,173767,14082,22038,30481,cpu,1
2025-05-16 15:39:54,0,282404243,343647610,3062088,39639222,963913,103200,12199502,1231,363976,8573,cpu,1
2025-05-16 15:39:54,1,386543073,667640997,7608603,72020758,1090491,127034,32802384,1084,698048,9112,cpu,1
2025-05-16 15:39:54,2,83866388,123574957,1493623,13932526,244235,25370,3916038,226,164032,2721,cpu,1
