procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 334224 1023796 6140520    0    0     0     0 50723 70462  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0   3840 332352 1023796 6140528    0    0     0     4 49688 73306  4  4 92  0  0
 0  0   3840 333512 1023796 6140532    0    0     0    80 54059 77330  1  2 97  0  0
 2  0   3840 312440 1023796 6140540    0    0     0   100 54641 78172  3  3 94  0  0
 0  0   3840 315708 1023796 6140552    0    0     0   100 54731 78326  2  3 95  0  0
 0  0   3840 315424 1023796 6140556    0    0     0     0 54431 77950  1  2 97  0  0
 2  0   3840 312068 1023796 6140564    0    0     0     0 53300 75681  1  2 97  0  0
 0  1   3840 247680 1015476 6049740    0    0  1432   140 55443 79324  5  4 91  1  0
 0  0   3840 240704 1015476 6067488    0    0 19080   332 57999 84699  1  3 96  1  0
 0  0   3840 238660 1015476 6068320    0    0     0   316 53076 74987  1  2 97  0  0
 0  0   3840 244348 1015476 6068324    0    0     0     4 57171 79160  3  2 95  0  0
 1  0   3840 254496 1015476 6068328    0    0     0     0 54768 78514  1  2 97  0  0
 2  0   3840 456932 1013112 6006520    0    0     0   344 54422 77866  4  4 93  0  0
 1  0   3840 528944 1009492 5946536    0    0     0     0 54241 77720  2  3 95  0  0
 1  0   3840 520616 1009492 5946300    0    0     0    16 54987 78677  1  2 97  0  0
 2  0   3840 524344 1009492 5946308    0    0     0   176 54118 77262  1  2 97  0  0
 4  0   3840 1154012 1009492 5950264    0    0     0     0 55648 80144  1  3 96  0  0
 1  0   3840 1510172 1009500 5941004    0    0     4    52 53855 79422  2  3 95  0  0
 1  0   3840 1522800 1009500 5937128    0    0     0     0 53903 76746  1  3 96  0  0
 1  0   3840 1522640 1009500 5936800    0    0     0    12 55586 79971  1  3 96  0  0
 2  0   3840 1532376 1009500 5936808    0    0     0    76 55552 79988  1  2 97  0  0
 1  0   3840 1539492 1009500 5936816    0    0     0    20 54689 77988  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
