sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss  iTLB_miss  dTLB_miss  elapsed_ms
13   152590652   35728490      722190        8100578              683240         72118     746200    28467      27187      100
14   169374235   91685785      3480846       20238114             1417820        180751    1325339   68002      69497      100
14   186912859   74018562      2748184       14234669             1011833        97318     943171    81526      67578      100
14   168476508   70756314      3231879       16955955             1362069        188578    1744866   133976     122428     100
14   320110113   108449640     5350995       22764826             1846190        248949    2146177   170464     173808     100
14   502374902   358236341     8090742       44845117             3772187        421276    4263379   232532     230532     100
14   510837462   252631118     7098480       80211388             3778928        512212    8228875   241463     334940     100
14   419888779   203994693     6345890       46240826             3501568        363028    3306826   149230     193703     100
14   576687476   142671708     4481516       35300749             3185069        345092    3701849   190647     212161     100
14   670399812   216595052     5754251       46716898             3614786        359552    2060458   77060      114885     100
14   750535142   255911365     9279772       72301058             5390078        631465    4962714   242821     207931     100
15   674969847   210033801     5380481       37521144             4064698        367506    2588041   179575     236866     100
15   651448614   240279972     5888746       41788556             3419990        258417    1251988   53725      95203      100
15   579295135   153581299     4179810       42819188             3922982        407701    3424110   154269     176131     100
15   397713305   116895939     2993759       22409597             2512028        221985    1333479   79150      70810      100
15   150230818   52282833      1843007       12650431             1026373        120323    817348    33854      20777      100
15   348512850   153310288     5906499       21263109             1791042        261503    1961457   168863     165906     100
15   340417505   157325020     7336640       32235680             2819403        366624    2660225   166653     110051     100
15   351170476   166257369     8799315       41362777             3596716        480996    4495291   327263     261521     100
15   805060463   384011471     10194861      52977301             4271262        581387    6092309   250291     400646     100
15   457918021   132768479     3771396       50450021             2728574        229588    2636430   87278      89967      100
16   297973771   174118105     6495232       42307296             2491674        396919    4775362   342928     330918     100
16   1320850724  1284486345    15929778      301858590            3522584        801916    12435985  466375     417497     100
16   593981891   667582239     9647779       137028237            2630122        702117    8338018   456665     240248     100
16   225029668   120822493     3727673       18131832             1845436        271580    2634006   113563     99863      100
16   155740181   58614395      1180083       10352310             898721         76712     738492    17980      20681      100
16   306517148   139726738     6285829       41679535             2410372        282376    2308917   106511     82204      100
16   224637635   90543503      4875530       23059817             2086487        281617    3134081   178958     239973     100
16   249811508   86022705      3174872       11952210             1090149        115883    1351232   121195     126770     100
16   212387554   79246431      3129120       27384692             1831439        221449    3144484   102405     95391      100
17   145882864   42771373      1757772       10794499             861142         100753    827216    33839      37614      100
17   173388703   62197857      2666937       16857403             1229941        154192    1490944   81404      79027      100
17   187967438   72909018      2208531       8794430              853639         106081    1033333   55232      50643      100
17   159716250   51819734      1818464       11671273             1331113        154554    1587265   86293      80875      100
17   527121763   562277227     12192467      123981312            4848275        624360    12470305  354173     500125     100
17   424564092   145887957     2853484       22447100             1980081        161027    984968    40174      47490      100
17   201332970   57465326      1989528       14132840             1286332        123722    1213191   63351      53057      100
17   208489082   81128418      3145647       18358658             1456829        179222    1593218   126245     122177     100
17   162904383   66177596      2566335       14067349             1268830        125691    1257752   75661      68748      100
17   141858446   34846599      781201        7972114              834475         86309     1065219   61753      40151      100
18   169956797   74889116      2804421       12931189             848421         76464     534789    17057      20445      100
18   313220813   153261919     2105188       25084480             1838548        152565    1124462   82890      60616      100
18   390385272   193375953     6452976       38510267             2590044        259451    2244838   112133     150739     100
18   189003238   42283468      1855626       9911842              983716         109042    871466    28957      43899      100
18   171977284   58881839      1767825       11419166             977879         107105    1093725   71051      52754      100
18   179391258   65458394      1967079       12478689             973492         118946    1070659   61808      60781      100
18   2208784180  1879514641    21770665      378259746            11542047       539957    32192651  293782     2468849    100
18   143571813   57337542      1572597       10836442             934589         88570     1009494   44743      51843      100
18   261904273   112363289     2595349       25889029             3613865        215018    3683475   116899     182970     100
18   183400874   67685501      1856235       12001295             1026524        100716    924205    47639      44138      100
19   147280671   78164025      2609607       14788907             1286139        168424    1364310   71103      79484      100
19   148465054   44538152      2555991       19333366             2143598        239999    2057306   100970     70144      100
19   162855128   54213072      2489168       13590039             1339769        180355    1475001   97340      75956      100
19   239448711   108461906     4118249       17763016             1569663        196225    1585163   156912     173903     100
19   219667810   87515773      3639122       17211255             1572238        220185    1708481   128844     97274      100
19   225507109   79981344      3413191       17715147             1626087        202762    1760421   138052     104922     100
19   206446223   101714998     4109784       18817235             1505725        164950    1085868   55756      63728      100
19   267831934   83680042      3630035       18804700             1848863        286108    2551999   201536     126449     100
19   233586418   112832638     5284520       23131460             1632622        203386    1577867   92309      102648     100
19   184220557   71094670      4297472       18616321             1659133        210365    1643467   98495      95043      100
20   352490134   270210641     7002865       39497297             2243388        239857    2165433   157134     148071     100
20   398427658   250652284     3645508       54092885             2830602        294602    3932361   160105     114056     100
20   123732516   33068477      1096094       9009784              988502         121180    1134274   46780      60213      100
20   216993691   65806934      2732652       10931440             1034462        103294    871532    51797      77858      100
20   281215324   148287655     4197112       34289252             1731208        202970    2343736   101058     78228      100
20   169757064   63731917      2159081       14426902             1315838        172769    1533181   83288      63053      100
20   115509256   30975500      886933        10095684             970888         98495     940306    30559      34843      100
20   180868393   72146777      3713567       15419073             1321086        145200    1067508   105701     129091     100
20   192351296   76417650      2973897       14475252             1221579        127862    796998    44409      57556      100
20   685602843   256561409     6161257       42731417             4051029        359074    1850287   117851     146898     100
21   303412134   80811886      1665871       12295356             1305403        154034    1412307   66434      49919      100
21   123984226   30010059      666102        6104288              643969         54841     678495    19585      33937      100
21   126599600   36792546      888379        7320613              913347         120901    1022054   84772      61432      100
21   199215460   94071460      2579666       23930735             1649564        145931    1057326   28898      16006      100
21   150644458   46036020      1022045       8418616              1034438        103470    939236    43184      43056      100
21   129040260   42361702      1481252       13572869             1161296        142263    1146365   62869      60088      100
21   206214061   82182905      1524510       9789833              785264         62569     653050    28430      34531      100
21   122055880   29824017      1152352       8826769              918158         126230    1227805   53431      47594      100
21   152920173   63203455      2309717       10424157             915971         86212     707706    14271      37124      100
21   137993361   35297102      1040978       7941488              820335         93353     985490    62561      54043      100
22   155102753   51397704      1785457       9823375              852766         78521     763579    42125      34002      100
22   194265013   83074120      2671275       16549491             945016         114588    1060557   58995      50807      100
22   133843984   41635691      2356935       10954645             1203185        118428    1114367   40945      54012      100
22   310444376   123264413     3091878       17433096             1182522        115831    1190621   85434      72034      100
22   324343615   150863436     5029105       20756806             1487530        150263    1192240   56283      70309      100
22   159776749   60241973      3077305       22305108             1718857        230362    1770226   92476      62312      100
22   161114998   82775404      1353456       25865953             3144480        234120    1454926   56554      54209      100
22   202168045   52893927      1497061       8981596              865449         93540     965931    72120      68314      100
22   176202622   77436359      2878792       13299642             1044805        83618     608915    53010      49872      100
22   670672384   322808452     12356998      93466136             4768616        537157    4503755   176401     178959     100
23   444381932   244605285     4800922       23334540             2447194        331036    2722619   179290     150247     100
23   151927298   43125680      1577867       7435122              824590         85776     726611    42580      57474      100
23   140793252   53876790      1217591       9340775              799809         62506     481729    6793       11398      100
23   173461211   72701336      3162336       19076037             1577691        187267    1751063   90769      61323      100
23   581559986   552570113     11419398      67873133             3173305        509859    4476719   237586     268076     100
23   763188934   444890388     9284540       74229182             3209916        500401    17767703  239796     555013     100
23   1187002875  698341709     16155703      164617356            7132278        723806    8182438   272062     341932     100
23   1018346406  589197639     17162734      129541435            6032728        803800    10793798  364101     419242     100
23   956271767   438964421     15187555      119711914            6448793        866074    8655820   442374     383862     100
23   657188560   287962473     10037196      71074719             5169004        574463    5200164   383763     442354     100
24   864114116   315604422     10430608      61262734             5198202        492197    3919835   271608     292659     100
24   709380574   300111200     11624784      73603038             5275060        574631    4095735   215426     142643     100
24   749653124   453090111     9750207       62091974             3773241        401817    3454292   265489     192482     100
24   829525926   524580753     9571863       72114955             4576162        536735    5051123   276394     226697     100
24   3831133837  2689130597    27896047      469226823            14027565       690190    29758480  403158     2904182    100
24   615196286   243612601     9543654       83145822             4116321        492121    5519242   230618     254350     100
24   483893863   166100937     6932988       47766161             3906361        445188    4157733   255118     209607     100
24   605353711   313862905     10498211      68374049             3688617        432611    4594227   201589     236948     100
24   522335911   260547770     10229140      38637962             3249642        470692    4097835   276940     190910     100
24   443749937   113899253     6094382       39079594             3376286        405254    4557373   182106     209816     100
25   160587657   48406986      1872642       9720658              1033817        129407    1110170   97230      108387     100
25   191046232   58888190      1990222       10653120             1058351        119784    836567    30240      28346      100
25   342784149   129622505     4868368       28949729             1750219        210479    1886161   146886     155281     100
25   280118331   108648775     3491318       18212124             1848625        189077    1846278   112791     113247     100
25   419039928   112934793     3702085       26002906             2202343        252622    2567850   114171     99201      100
25   190900583   54114425      2718284       17737616             1866689        219577    2094987   104076     99791      100
25   305396837   237295867     4738926       26184003             1399666        139213    801693    31350      72773      100
25   376569891   194543509     5030919       35412621             1219062        129064    2411474   54945      95944      100
25   226041020   127297695     6074529       65016070             3039336        463375    4300403   308358     276772     100
25   162470632   56659920      1692919       12744232             1278003        219538    2618504   205700     264459     100
26   123032960   32603440      1206696       8753930              989681         97055     789298    53531      76070      100
26   1445255435  1157477106    21135951      166870423            6073452        882351    15444222  361416     531085     100
26   1690317738  1416847188    17356870      240188663            8938640        1498827   15138762  485097     471328     100
26   1587077088  1223496358    20279233      216025794            8387574        1449704   21624702  670132     908370     100
26   1538550399  956088285     19090254      181745643            8914128        1691326   21085760  403835     594753     100
26   1389185918  901809631     18159859      166562123            7126201        660490    12004331  259366     463142     100
26   1220027572  785419547     18248282      143469764            7521051        934214    18707387  302944     504552     100
26   1041264431  403553587     12698151      100443535            6377804        655201    13374527  267441     455299     100
26   733672446   277365044     10305367      60565292             5472492        640200    5113134   266245     272311     100
27   466673957   146675252     4531519       28345695             3004092        301452    2447094   117959     105810     100
27   2334599343  2083008200    19957498      393095889            11039477       546785    28902488  393133     2967985    100
27   656694482   293458118     9225469       68029058             3971330        439656    7511437   244392     292194     100
27   492522518   207533361     7948963       36631813             3086328        374053    2823840   251778     171734     100
27   302504963   122983478     7592912       36312684             2758062        364272    6288939   214088     210749     100
27   420453265   285908755     7552807       64657897             3002036        241976    4147931   115521     115233     100
27   247989067   221965009     4445177       67726482             2750688        346415    8592417   170435     222115     100
27   327072346   273387105     5705577       45458452             2833036        283742    3571415   50196      101211     100
27   216437601   108876228     4580659       21042041             1625548        151406    1481243   136340     134083     100
27   145836629   46078973      1656766       13090548             1097926        161684    1683938   110667     103186     100
28   161768884   39266516      884421        9887855              1058908        135171    1626764   70152      49396      100
28   403720657   110025113     4436893       24338489             1902640        185596    1215376   53078      50936      100
28   833814744   1023728951    5632136       203086685            9135844        317137    3944441   185850     125518     100
28   427802374   165704013     4874312       35082675             3234414        269300    1732302   64825      86843      100
28   304438263   288842106     7175000       62577037             2562749        334132    3594326   122174     102403     100
28   1872485193  1902215402    22062701      435267028            15451184       703147    36268311  443525     4469816    100
28   437262071   346226878     7344331       66655475             3198950        232442    3387610   98594      104789     100
28   209956057   80387932      4297173       23540244             1863453        271101    3450074   162243     176944     100
28   132380314   58769923      3611094       28152158             2473687        243624    5026033   226086     479775     100
28   138036380   34212100      955254        11209249             856664         106140    1143613   100154     93495      100
29   160552088   55429918      1846923       10458854             859629         81908     749092    47420      38057      100
29   152715400   52593742      1559171       12932265             904087         91680     881111    22139      17410      100
29   234488213   68463423      2009478       9283875              835028         69353     574954    23414      30168      100
29   185507292   71256023      2521566       16852072             1714764        160074    1301767   40864      43742      100
29   270876323   95730638      3356412       17774753             1395483        161398    1483473   56124      48306      100
29   311860630   217908746     3889131       18420265             1685359        199446    1773786   87313      92508      100
29   371138919   327605708     7542890       63626873             2234110        262010    3071069   75319      103698     100
29   207796172   182244362     4582475       64486299             2127602        344683    4092353   198171     179685     100
29   203183009   91764115      3843366       22177287             1642587        177251    1978857   119203     150556     100
29   131646277   39484919      1473842       15508297             1040121        131954    1134371   74569      103052     100
30   128016159   33518731      1256222       8910102              850333         89125     983618    42684      37489      100
30   233375871   74242112      1290101       7470395              762630         66970     737609    34195      48375      100
30   147951296   37250110      1163992       10036080             949027         87594     774426    23971      16941      100
30   275677805   97024049      3280003       13848479             1155459        119471    1026376   54942      68197      100
30   237467997   118394732     2090752       27589454             2466355        221791    1888154   86249      50191      100
30   312487986   274557206     4066286       38175238             1491216        155754    1380962   61089      64208      100
30   370453581   337149276     7496285       56253764             1759778        230409    2981985   81568      71080      100
30   173228459   76924855      2893933       20865716             1704106        251397    2393712   145845     127805     100
30   1549910695  1299494681    10950241      187596829            5663789        251519    13808424  166148     1577045    100
30   151470214   40039132      1808863       8666274              1059689        136403    1419697   84222      93550      100
31   151517120   65869086      2986751       23328391             1910242        348166    7858649   492404     438090     100
31   1029760726  986045983     13662856      209695636            5650116        868533    12603757  663801     529022     100
31   823638802   773218349     13531626      164512232            2986749        793346    12206112  619076     422479     100
31   176668169   64576900      2620095       18802989             1829634        217792    2662978   122410     188651     100
31   275912772   75768044      2122072       19202311             1398074        135913    1627407   54000      114630     100
31   250697565   297721526     5987909       70809891             1716162        308988    3966534   102671     104885     100
31   235985576   90885861      4092499       32917948             1719020        188903    3389426   148875     196738     100
31   299191754   196029402     6214806       95003950             3653929        342508    5873265   173169     208388     100
31   170304807   66237710      2822204       23638050             3247748        384250    4249083   226970     384101     100
31   117620659   30777498      1209148       12837504             1125304        142483    1291428   55814      92573      100
32   123184217   34802436      679471        10983797             968680         137967    1704641   60579      76003      100
32   195810907   89522462      2446823       13336691             1019261        93652     796343    29124      22815      100
32   145347428   39559954      1322030       8267787              1030535        111235    787911    27880      41155      100
32   243826519   86046134      2915097       15840454             1325975        127500    910611    45291      34482      100
32   334454037   193846057     3116035       25498243             1397203        135082    1398718   62689      63153      100
32   327019590   253599791     3216229       34316236             1613588        125150    715493    31136      34492      100
32   122500991   32770451      1407781       10502894             948193         107243    924594    16701      14478      100
32   215514550   105986231     4572267       22393430             1459053        184202    1908898   128478     147159     100
32   284780471   143086760     2826683       29125764             2187316        255308    2314300   122431     95499      100
32   146799284   51989024      1029461       8690709              867427         83984     902966    52318      56059      100
33   145285862   37719544      1019196       7369136              860056         88730     703222    25336      36702      100
33   303863438   92479693      2423845       12745736             986503         86504     1018683   67608      62410      100
33   1562988610  1533989700    10361925      289370461            4857580        184146    20427154  101232     2818182    100
33   199416149   73268786      3592933       15986195             1409339        129737    1081793   32138      32908      100
33   207698644   96015110      2896378       29296873             2736071        270078    1932696   87911      84280      100
33   197959503   122755157     3702799       22734527             1257749        125374    1264983   52384      93670      100
33   243833241   137094327     3016019       15596984             1368952        162682    2622484   124064     156649     100
33   289091294   211499580     6762764       78510220             2429686        322790    4587840   136947     119740     100
33   164060578   84194649      3460912       37930323             2027280        235597    3493636   204433     221966     100
33   251199929   146865350     3612088       27752018             2144173        192248    1804688   105245     105500     100
34   133445969   28021790      553947        7826727              693366         80010     788441    28926      26696      100
34   178803459   53721260      2184225       11343062             948812         98968     857878    22185      31708      100
34   205057878   50737004      1493406       8338640              1043240        124527    995952    51890      33737      100
34   328919126   275551501     3632806       56229891             3600976        185888    2631348   55342      41536      100
34   2429490772  2151212233    19951962      474053047            14348135       424462    28144754  175291     3078857    100
34   362560889   227585638     5799536       61343124             2011563        229114    3013037   88604      84906      100
34   265011082   287928981     5471562       69622129             2022405        347193    4636247   133402     139870     100
34   247079470   175764452     5688828       39351665             2699223        235948    3095211   195540     260841     100
34   411875660   444483980     3629380       92411598             4417529        239679    3358038   164091     230990     100
34   143527956   33924699      844442        9779065              970701         132003    1500524   66520      55380      100
35   147555377   34908675      1123169       7856591              898283         86053     688182    40411      47553      100
35   184116762   56159329      2365565       11904938             1065930        133482    885171    32238      30381      100
35   236568436   68937445      2177418       15085741             1095460        112131    1129475   39876      33483      100
35   190515562   56976685      2119773       18784661             1948016        210156    1841165   75412      79973      100
35   157189809   82661508      2469125       10197626             1118358        142623    1481651   40285      72332      100
35   461078915   432900085     6087772       71528999             2551435        196585    2674686   94296      54077      100
35   327903856   236334377     4493425       48896737             1930890        248134    3717214   176531     258164     100
35   297597745   278523646     3773513       26451072             1443218        201956    2851468   173941     228681     100
