sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss  iTLB_miss  dTLB_miss  elapsed_ms
18   941326408   775186342     15564126      152802168            6978271        1038493   12727902  272664     496608     100
19   250673853   104554586     3916835       19191087             1307178        177739    1880813   113343     110563     100
19   1368950189  1802664417    10669588      207305495            10851167       822941    15857923  1282483    398302     100
19   159753179   79339767      3165971       20653269             1502621        199336    1921119   78013      67406      100
19   226969145   127618248     3949745       20632020             1569066        136157    1791297   111597     187693     100
19   583059827   257594578     11896695      90219178             3814334        498473    5018849   205706     270700     100
19   786480277   1003856845    19719244      181120160            7856762        1321026   13356781  184559     466452     100
19   464557713   413453513     7173562       60034995             3296173        373433    4910048   175337     202010     100
19   493846644   173012364     3009124       25449377             1551073        162827    1242852   59422      71593      100
19   199386112   86706832      3901922       11837126             1396994        179525    1298426   118879     109426     100
19   708277208   437606473     9247584       56546436             4627983        279773    2185053   79794      137638     100
20   363331156   209014352     7457369       48424238             4938826        453804    4437430   196195     184458     100
20   2993544136  3575855968    8878192       337871326            18189402       1172880   26792915  1729787    325716     100
20   174939837   62958218      3056432       17517162             1514658        152581    1524891   61581      100564     100
20   454812503   293887333     9276124       41788304             2854723        348072    2345517   137755     147359     100
20   248033334   132194136     6353975       53738653             2524390        332715    4799359   218371     258380     100
20   575704489   413988595     8067282       63811938             3547084        444904    7572353   211551     356986     100
20   1198342998  656438371     8925462       86288279             5246007        651242    8725150   193756     435943     100
20   1924640723  2046131084    20521835      393843127            11281676       835847    21589446  239294     1671168    100
20   1172046166  648749560     13498582      91938549             5550242        514399    4557494   115670     240823     100
20   1017453850  511133301     11675648      68764915             5183386        504034    6019790   146872     270050     100
21   276338697   103118037     3861976       17291015             1489034        154586    1562288   72158      97035      100
21   3029622158  3592760851    24229016      366589943            21648710       1363127   26827893  1705637    564980     100
21   189306601   52623796      2105733       9879836              928704         86168     903330    38561      61072      100
21   456522013   335799534     10016611      75997929             3963808        472611    6508309   300913     366254     100
21   256448383   176339173     6428132       75029963             2940041        415967    5273326   193399     177749     100
21   1560331699  1217846354    16490568      193097780            7987275        472495    20556734  304757     2337575    100
21   305323316   242035099     5647034       61865987             2647811        246989    3383467   118880     145943     100
21   539720542   414127894     9463561       49084764             3269901        285582    2169749   79902      105610     100
21   371896000   299580204     6510196       47640759             1972765        233485    5276726   109055     191009     100
21   277441041   161077150     5364641       28882733             1490765        160865    1387929   46836      67007      100
22   206499543   104506533     3069346       30065243             3642911        248787    2536953   130261     110394     100
22   3013320853  3603867331    8381861       341554865            18865957       1048643   23373756  1840973    344643     100
22   154445485   55078294      2089378       11279109             1077117        104360    1223524   65797      79468      100
22   234846023   98448753      2454424       23074102             1815144        185237    1390924   88737      99638      100
22   553133637   193526788     7650755       59479760             2734262        361102    4741221   162621     224294     100
22   235657031   74911601      2110538       15129001             2384249        213957    2197092   107502     139041     100
22   577733195   451529696     11154481      91848788             4364370        396756    5128427   114506     168104     100
22   227411757   115462553     6034640       31910781             2210359        395314    5753719   161921     215910     100
22   423296080   420909534     8980528       128412698            2825484        405312    4575097   240176     288788     100
22   752266864   412303003     7633540       57363477             4886096        454123    3470043   171944     148589     100
23   385644981   143297546     3915580       45656610             3109906        325028    2965558   150449     140225     100
23   3707182074  4189374531    17052832      378542463            19966763       1439433   17515750  1708660    383395     100
23   174201807   60682145      2973738       15770013             1251972        118290    1090724   37521      41749      100
23   157878217   46354913      1304313       7710066              777130         92970     1404825   67554      93438      100
23   169483133   61493741      2578192       19181889             1562789        228171    2370081   132233     147844     100
23   509819362   482619102     8125912       74312889             3874061        383953    4830278   227028     302626     100
23   409184991   222540663     6690040       74209036             2648273        312814    4691167   153361     119598     100
23   421603411   286749211     7925747       66551230             2451367        339778    4047309   119168     162163     100
23   232764102   119987545     3204903       27715755             1727453        254221    4530529   163982     233513     100
23   550258737   626117109     10289990      72699241             4291089        428694    3986472   132336     149099     100
24   1027642467  535249610     15499170      73018618             4709648        1074999   5965755   143663     304389     100
24   2860001341  2716736014    14298598      308616600            16856757       1475998   20893763  1185966    379949     100
24   400932087   118153900     3028703       25395746             2085996        182833    1479200   98201      97310      100
24   454893373   156442728     6195221       36012789             2415172        253115    2856098   76744      113434     100
24   165937701   64883423      2126291       13084513             1188906        154769    1855905   94100      98774      100
24   750051251   635709072     7176930       48346757             3132681        277065    5441380   199549     278670     100
24   347850629   445831912     7153269       74132926             2487583        371012    5885540   179989     279855     100
24   561891037   302103422     10248705      48749434             2629145        307086    3669694   126849     218523     100
24   1431113049  1110791559    17586037      300387429            10494206       784345    26931898  363155     2713119    100
25   586358039   428429292     5960656       79331418             5486691        431847    7328250   222531     351895     100
25   2644300470  2564308674    11079153      232760427            15956748       742295    8288837   406381     154298     100
25   1234249552  1008427372    6883801       185650770            14009518       820012    15570668  1508820    316318     100
25   233144616   96283434      3872099       18403697             1506222        155645    1017991   35012      27196      100
25   149945060   52086220      2261681       23951169             1460954        193813    2864393   136689     141688     100
25   174918854   63774750      1999220       9107069              992629         108081    1277812   60606      75386      100
25   632067158   565540664     6964780       58100544             2862564        300046    9645560   122813     288103     100
25   366544216   123310421     5677863       29774018             2223922        270758    3270178   158756     242939     100
25   264790820   217938281     5581408       67444398             2715894        230966    3789410   221029     292651     100
25   252165742   209780699     7236180       47721414             2252090        362572    4261688   97899      145669     100
26   922718869   1483240096    12902277      324885962            7286611        415398    18044940  101032     288971     100
26   3152471669  3849849274    25667820      557757862            20913067       1029199   37641229  771291     439581     100
26   1320383281  1800347364    12605869      168615357            4661808        356536    13989779  768013     464005     100
26   393319849   702160582     12981639      195876745            2292434        207932    22314144  40223      248084     100
26   1456832109  613152609     18696557      130704048            5298875        891396    13090875  221787     501852     100
26   568562641   479052517     12627992      109822872            3393107        661012    15560463  243498     605030     100
26   926486892   717236316     18560948      128725874            5401774        532919    17226813  207802     607541     100
26   798912086   902289533     22406031      161980485            5477155        942396    15307354  371053     677162     100
26   843698427   795689922     24185388      167884810            4831763        831979    17174021  248487     615383     100
26   946847912   864031656     18113940      195079373            8197716        855223    15821189  366259     754559     100
27   723881045   652745437     20257202      134857944            4142282        670998    15513931  218744     639365     100
27   2289798720  2337109422    13281789      270502369            11683429       779048    22252677  534863     690315     100
27   745805712   751479771     13921275      188561892            4313474        1349520   22745616  90781      351450     100
27   3915184531  3072143800    25811526      551789547            15986845       978963    36565469  524487     3749076    100
27   1130285182  437913188     17019740      105304785            6982467        785311    10360988  329056     461937     100
27   730789059   259462927     12690534      79976448             6470707        794706    9120190   271356     458762     100
27   1335559887  595942350     12882172      126458287            6990991        546843    9850454   194798     542483     100
27   695767790   346452031     11149092      63134325             5660692        571906    6756928   168358     376741     100
27   950211705   405121395     10927071      95884341             6715762        718001    9580285   223347     406348     100
27   1238439060  815684557     15995502      161845678            5622244        591955    16050346  329362     522936     100
28   1400852471  1789266162    28845573      427022596            10008725       948587    41978005  445779     979194     100
28   2467037533  2103824633    25046602      230750978            11177907       1104392   18822091  693273     1049847    100
28   1410889007  877440733     15026925      163700073            7672678        588801    12822975  226044     1362507    100
28   1362824279  973714525     18727576      151516049            6764087        866024    15151623  417305     818620     100
28   1371728146  823810849     24118261      165094116            7235174        970486    17584777  415566     821091     100
28   1204547810  913763026     29120918      180351027            8059221        1111415   18607739  376623     879385     100
28   1791567241  998896780     27704031      196329631            8462807        1031586   22774058  412041     1306543    100
28   1206994439  678741275     18231719      136751918            7813978        1066618   18520165  444720     1362585    100
28   1715323065  1287313784    29237901      195720005            7192231        1016716   19392596  427631     973289     100
28   1130080952  694483270     18694837      148549963            6164160        971951    25082903  368133     1065605    100
29   1886652672  1705830358    28121051      430903504            11388504       2642785   32504281  647397     1143386    100
29   3753865585  3151031678    28544828      396678563            20794651       1575617   27687545  1519277    1191566    100
29   1089571865  895030584     12321377      189318963            6680969        636894    14543569  435576     527975     100
29   670221222   262449910     11071159      89011753             6359136        829829    9562926   360153     522940     100
29   494292537   392017177     9608536       93755874             3310211        399296    5607993   162520     295249     100
29   1027017117  1186059951    14642219      248004073            5162577        456936    22823712  246682     430090     100
29   1444556988  935706631     16969164      200373464            4806235        553744    20107697  214876     489810     100
29   1021915906  883991248     21491408      158131198            6925504        762914    14012808  182778     783430     100
29   1040182224  848944320     21264475      156489588            5701663        805490    18239940  341730     789919     100
29   4299754032  3114830247    36442060      579802585            19569326       1111239   40538185  393108     2907207    100
30   1376390943  992441864     27064041      193519795            10808067       904760    14136053  240070     789050     100
30   1784603577  1430074060    18158770      187359419            9586849        881328    18948137  681066     699144     100
30   1263855171  809358443     16149212      111937620            6346719        826399    11021829  300626     598764     100
30   1069105467  507293949     8661939       102382563            4665786        1026779   13626466  210047     669825     100
30   752797730   369463424     6978752       53731585             4399084        439209    4540707   159710     377843     100
30   815094029   412887947     9950585       85536208             4893975        643235    6833606   95216      232723     100
30   1156903804  336814013     5953359       46940276             3968172        438031    4488832   196391     385866     100
30   799885206   250955697     6346927       61220721             5495297        620045    7183369   249111     488156     100
30   566032776   429994586     8387877       108015472            4684867        371720    6856792   272726     508960     100
31   1092535027  356126026     12319285      96727496             4751096        676029    8295466   197066     360009     100
31   1383305094  1377304849    17397536      200452569            10363760       883809    11265747  646042     431946     100
31   1476154915  811660145     16417257      193474962            12924731       1007326   18384981  666714     681043     100
31   608443298   413940933     8514970       87029134             3930874        592267    8266589   167707     445941     100
31   961915738   328842774     6229713       61150269             6316085        555659    3132484   142730     174042     100
31   748369312   318484687     8454098       78681394             3996926        548831    5791294   106651     224611     100
