sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss   iTLB_miss  dTLB_miss  elapsed_ms
20   481186158   131408288     3318455       15365881             1493611        161129    1565734    78157      89327      100
20   224085958   106767230     3457399       31827453             3828695        271654    2388656    173443     138681     100
20   1132662170  759582401     12387586      96293756             3672334        881564    9598870    301057     375216     100
20   1250292493  763018070     11612218      84397689             3716046        448891    7847779    199814     304017     100
20   406532120   205896306     6129957       49337344             2856280        241026    2142460    118428     129080     100
21   131890677   40406853      1324767       14874437             1078793        123692    974768     41909      27131      100
21   139845172   42089702      1201561       7210707              821154         77951     707856     23911      25870      100
21   136819690   36525356      2216305       18027654             1994514        216638    2248282    130821     138794     100
21   631925363   207803643     4451775       36878591             3448454        263035    1266850    45357      89839      100
21   469098162   131407069     3880719       35500876             3745733        319795    2374328    90978      112850     100
21   589772500   277781983     7717906       45823759             3551210        328827    2488689    151021     152339     100
21   898661611   365902303     9415167       78765134             5570770        540929    4329839    263234     215111     100
21   651929827   194460210     4824686       46685380             3799614        371382    2342537    134519     132339     100
21   895668265   257061003     6773675       50125427             5180093        495857    3021284    248308     196734     100
21   808547096   435122920     8885216       68158518             4269516        469951    3756618    211538     200377     100
22   501103529   131483469     4903340       34341932             2963770        272059    1979239    105151     112461     100
22   265846917   128357824     5144779       24708143             2518803        442703    4401633    334526     284937     100
22   237469649   61992287      2803303       11172177             1473911        212696    1778348    180311     140501     100
22   180969657   49952827      2965191       13073797             1236537        124595    1146846    35174      76266      100
22   186252120   75842547      3142134       13726032             1355668        175034    1523527    117389     94038      100
22   345649677   110598384     6377700       27136313             2111417        255281    2159400    158491     115399     100
22   163462965   58795496      2889157       15456391             1511940        203958    1761142    108967     112604     100
22   133186073   31693096      615184        9563029              937226         106361    891191     42611      40627      100
22   178570293   46443784      2279185       11712353             1024042        115674    1194572    77822      72150      100
22   260546117   106378145     3743175       21963405             1522614        153970    1580529    110573     91216      100
23   385979425   245857356     5571272       34868904             3075784        248961    2671718    97220      117858     100
