Linux 6.8.0-59-generic (superlzx) 	2025年05月16日 	_x86_64_	(16 CPU)

15时39分37秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15时42分11秒     all      0.85      0.00      2.15      0.00      0.00     97.01
15时42分12秒     all      0.97      0.00      2.34      0.39      0.00     96.30
15时42分13秒     all      1.04      0.00      2.08      0.00      0.00     96.89
15时42分14秒     all      0.98      0.00      2.08      0.00      0.00     96.94
15时42分15秒     all      2.73      0.00      2.47      0.00      0.00     94.81
15时42分16秒     all      0.97      0.00      2.01      0.00      0.00     97.01
15时42分17秒     all      1.17      0.00      2.15      0.33      0.00     96.35
15时42分18秒     all      0.91      0.00      2.27      0.06      0.00     96.75
15时42分19秒     all      0.98      0.00      2.08      0.00      0.00     96.94
15时42分20秒     all      1.23      0.00      2.27      0.00      0.00     96.49
15时42分21秒     all      0.98      0.00      2.15      0.00      0.00     96.87
15时42分22秒     all      0.91      0.00      1.95      0.00      0.00     97.14
15时42分23秒     all      1.10      0.00      2.01      0.00      0.00     96.88
15时42分24秒     all      0.91      0.00      2.28      0.00      0.00     96.81
15时42分25秒     all      0.78      0.00      2.15      0.00      0.00     97.07
15时42分26秒     all      0.91      0.00      2.21      0.00      0.00     96.88
15时42分27秒     all      1.17      0.00      2.34      0.00      0.00     96.50
15时42分28秒     all      4.34      0.00      3.50      0.39      0.00     91.77
15时42分29秒     all      1.43      0.00      2.40      0.00      0.00     96.17
15时42分30秒     all      0.91      0.00      2.08      0.00      0.00     97.01
15时42分31秒     all      3.70      0.00      3.77      0.00      0.00     92.53
15时42分32秒     all      1.95      0.00      2.67      0.00      0.00     95.38
15时42分33秒     all      0.91      0.00      2.01      0.00      0.00     97.08
15时42分34秒     all      4.21      0.00      4.08      0.00      0.00     91.71
15时42分35秒     all      1.36      0.00      2.66      0.00      0.00     95.98
15时42分36秒     all      1.10      0.00      2.14      0.06      0.00     96.69
15时42分37秒     all      2.53      0.00      2.53      0.00      0.00     94.93
15时42分38秒     all      1.88      0.00      3.12      0.00      0.00     95.00
15时42分39秒     all      1.23      0.00      2.40      0.00      0.00     96.36
15时42分40秒     all      1.17      0.00      2.92      0.00      0.00     95.91
15时42分41秒     all      0.91      0.00      1.83      0.59      0.00     96.68
15时42分42秒     all      1.04      0.00      2.21      0.00      0.00     96.75
15时42分43秒     all      1.23      0.00      2.27      0.00      0.00     96.50
15时42分44秒     all      0.91      0.00      2.08      0.00      0.00     97.01
15时42分45秒     all      1.04      0.00      2.15      0.00      0.00     96.81
15时42分46秒     all      1.69      0.00      2.80      0.39      0.00     95.12
15时42分47秒     all      0.91      0.00      2.08      0.06      0.00     96.95
15时42分48秒     all      1.04      0.00      2.46      0.00      0.00     96.50
15时42分49秒     all      0.98      0.00      2.21      0.00      0.00     96.81
15时42分50秒     all      0.97      0.00      2.08      0.00      0.00     96.95
15时42分51秒     all      3.24      0.00      3.37      0.06      0.00     93.32
15时42分52秒     all      3.05      0.00      2.66      0.00      0.00     94.29
